Person,count
史强,218
常伟思,79
杨冬,53
丁仪,160
申玉菲,46
爱因斯坦,28
豆豆,3
魏成,30
潘寒,47
李瑶,2
周文王,57
纣王,24
伏羲,7
沙瑞山,23
叶哲泰,26
绍琳,20
白沐霖,29
马钢,5
程丽华,9
叶文雪,4
杨卫宁,74
威尔逊,4
孔子,5
牛顿,47
秦始皇,60
拉菲尔,1
大凤,9
唐红静,1
智子,464
罗辑,1200
吴岳,55
雷德尔,10
琼斯,9
杨晋文,18
贾维彬,3
苗福全,16
史晓明,28
白蓉,20
坎特,76
萨伊,39
伽尔宁,33
艾伦,21
庄颜,110
张翔,10
张卫明,3
张延,5
熊文,10
郭正明,3
罗宾逊,7
列文,6
西子,29
赵鑫,21
李维,19
蓝西,27
斯科特,23
狄奥伦娜,50
胡文,16
程心,1328
柯曼琳,10
于维民,2
乔依娜,3
毕云峰,24
曹彬,87
伊万,5
韦斯特,28
戴文,10
朴义君,7
艾克,21
刘晓明,2
关一帆,245
弗雷斯,38
褚岩,5
卓文,6
巴勒莫,8
杰森,16
威纳尔,13
布莱尔,2
歌者,49
