Person1,Person2,realtionships
史强,常伟思,1.379819637
史强,丁仪,0.04360113
常伟思,史强,1.379819637
常伟思,智子,0.456351845
杨冬,丁仪,1.980107703
杨冬,杨卫宁,0.997036665
杨冬,罗辑,0.999834874
丁仪,杨冬,1.980107703
丁仪,周文王,0.028378352
丁仪,史强,0.04360113
申玉菲,魏成,2.982524165
申玉菲,潘寒,3.744280197
魏成,申玉菲,2.982524165
魏成,潘寒,0.978990361
潘寒,申玉菲,3.744280197
潘寒,魏成,0.978990361
豆豆,李瑶,0.58701847
李瑶,豆豆,0.58701847
周文王,丁仪,0.028378352
周文王,纣王,3.976734852
周文王,伏羲,0.898029475
周文王,1379号监听员,0.998468097
纣王,周文王,3.976734852
纣王,伏羲,0.798646653
伏羲,纣王,0.798646653
伏羲,周文王,0.898029475
艾AA,沙瑞山,0.999999992
艾AA,1379号监听员,0.672125801
沙瑞山,艾AA,0.999999992
沙瑞山,1379号监听员,0.999943731
1379号监听员,沙瑞山,0.999943731
1379号监听员,白沐霖,0.992379656
1379号监听员,威尔逊,0.021736722
1379号监听员,周文王,0.998468097
1379号监听员,艾AA,0.672125801
叶哲泰,绍琳,1.990553983
叶哲泰,杨卫宁,0.981143886
绍琳,叶哲泰,1.990553983
白沐霖,1379号监听员,0.992379656
杨卫宁,叶哲泰,0.981143886
杨卫宁,杨冬,0.997036665
威尔逊,1379号监听员,0.021736722
牛顿,秦始皇,4.770468469
秦始皇,牛顿,4.770468469
智子,常伟思,0.456351845
罗辑,杨冬,0.999834874
